lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,roll_no,gender,race_ethnicity,parental_level_of_education,Cluster
1,0,100,62,32,74,268,std-70,male,group C,some college,2
0,0,24,86,68,52,230,std-71,male,group A,some high school,0
1,0,71,90,68,72,301,std-72,male,group D,some high school,4
1,0,20,73,100,56,249,std-73,male,group B,some college,0
1,0,23,57,65,65,210,std-74,male,group E,associate's degree,0
0,1,82,30,53,75,240,std-75,male,group A,associate's degree,0
1,0,49,30,53,33,165,std-76,male,group C,some college,2
1,0,35,62,33,46,176,std-77,male,group D,master's degree,4
0,0,55,58,98,74,285,std-78,male,group D,some college,4
1,0,32,100,78,36,246,std-79,male,group B,some high school,0
0,0,19,60,25,78,182,std-80,male,group D,high school,4
1,1,47,70,100,90,307,std-81,male,group E,bachelor's degree,0
0,1,48,76,80,100,304,std-82,male,group E,high school,0
1,0,29,77,44,79,229,std-83,male,group E,master's degree,0
1,0,34,70,41,53,198,std-84,male,group E,bachelor's degree,0
1,0,74,69,26,60,229,std-85,male,group D,associate's degree,4
1,0,44,90,58,72,264,std-86,male,group E,some college,0
1,1,28,82,87,52,249,std-87,male,group C,some college,2
1,0,72,76,49,88,285,std-88,male,group B,master's degree,0
1,1,43,82,50,56,231,std-89,male,group E,some college,0
1,0,71,65,59,60,255,std-90,male,group E,some college,0
1,1,62,58,45,33,198,std-91,male,group B,some college,0
1,0,42,60,80,74,256,std-92,male,group C,some college,2
0,0,43,86,83,93,305,std-93,male,group E,associate's degree,0
1,0,72,86,23,62,243,std-95,male,group B,some high school,0
0,0,93,85,30,79,287,std-96,male,group E,associate's degree,0
1,0,66,91,95,59,311,std-97,male,group D,some high school,4
1,1,65,65,64,27,221,std-98,male,group D,some college,4
0,0,47,64,54,23,188,std-99,male,group D,master's degree,4
0,0,0,37,62,94,193,std-100,male,group C,some high school,2
1,1,25,78,69,36,208,std-101,male,group D,associate's degree,4
1,1,78,82,62,15,237,std-102,male,group B,associate's degree,0
0,0,82,84,82,79,327,std-103,male,group B,high school,0
1,1,46,98,96,100,340,std-104,male,group E,some college,0
1,0,28,79,71,42,220,std-106,male,group D,bachelor's degree,4
1,0,35,74,58,51,218,std-107,male,group A,some college,0
1,1,39,64,93,77,273,std-108,male,group A,associate's degree,0
1,1,51,69,68,36,224,std-109,male,group C,high school,2
0,0,71,89,71,83,314,std-110,male,group B,master's degree,0
0,0,45,65,37,50,197,std-111,male,group D,high school,4
1,1,57,60,56,52,225,std-112,male,group E,high school,0
1,1,44,89,100,88,321,std-113,male,group C,bachelor's degree,2
1,0,20,69,78,61,228,std-114,male,group C,some high school,2
1,0,54,95,71,80,300,std-115,male,group A,associate's degree,0
0,0,28,53,84,38,203,std-116,male,group C,associate's degree,2
1,0,21,47,55,49,172,std-117,male,group C,some college,2
1,1,66,91,40,40,237,std-118,male,group C,some high school,2
1,1,18,95,72,49,234,std-119,male,group A,associate's degree,0
1,0,70,59,29,50,208,std-120,male,group B,some college,0
1,0,30,63,76,48,217,std-121,male,group C,high school,2
1,0,98,68,100,69,335,std-122,male,group C,associate's degree,2
0,0,85,98,64,73,320,std-123,male,group E,associate's degree,0
1,0,75,90,51,91,307,std-124,male,group C,some high school,2
0,1,97,100,69,58,324,std-125,male,group A,master's degree,0
1,0,20,76,27,43,166,std-126,male,group B,some college,0
1,1,50,100,67,100,317,std-127,male,group C,high school,2
1,1,65,85,72,72,294,std-128,male,group D,some college,4
0,1,23,100,92,67,282,std-129,male,group E,some college,0
1,0,61,59,100,54,274,std-131,male,group E,high school,0
0,0,73,78,96,81,328,std-132,male,group B,some high school,0
1,0,88,85,79,100,352,std-133,male,group B,bachelor's degree,0
0,1,60,92,41,28,221,std-134,male,group C,some high school,2
1,1,25,82,80,94,281,std-135,male,group B,bachelor's degree,0
1,1,93,81,75,91,340,std-136,male,group E,some high school,0
1,0,72,44,78,58,252,std-137,male,group D,some high school,4
0,1,64,65,81,100,310,std-138,male,group D,some college,4
1,0,41,72,88,64,265,std-139,male,group D,some college,4
1,1,36,67,60,77,240,std-140,male,group C,some high school,2
0,1,33,88,31,97,249,std-141,male,group C,associate's degree,2
1,0,54,86,62,78,280,std-142,male,group D,associate's degree,4
1,1,44,49,60,39,192,std-143,male,group B,high school,0
1,0,44,17,92,86,239,std-144,male,group A,master's degree,0
1,0,19,84,99,62,264,std-145,male,group D,high school,4
1,0,29,59,47,48,183,std-146,male,group C,master's degree,2
0,1,39,58,72,25,194,std-147,male,group C,some high school,2
1,0,76,91,100,41,308,std-149,male,group C,some college,2
0,0,74,62,86,91,313,std-150,male,group C,master's degree,2
1,1,65,62,63,56,246,std-151,male,group E,some college,0
0,0,38,63,59,82,242,std-152,male,group B,master's degree,0
1,0,71,58,56,73,258,std-153,male,group C,high school,2
0,0,75,100,100,34,309,std-154,male,group D,some high school,4
0,0,68,79,77,89,313,std-155,male,group B,bachelor's degree,0
1,0,34,91,64,44,233,std-156,male,group D,high school,4
0,1,46,34,86,59,225,std-158,male,group C,some college,2
0,0,82,87,52,60,281,std-159,male,group B,some college,0
0,1,17,97,63,44,221,std-164,male,group A,bachelor's degree,0
0,1,16,100,47,32,195,std-166,male,group C,bachelor's degree,2
0,0,89,68,64,99,320,std-167,male,group D,some college,4
1,0,50,60,57,32,199,std-168,male,group A,associate's degree,0
1,0,40,98,53,84,275,std-169,male,group C,high school,2
0,1,56,81,52,69,258,std-170,male,group E,bachelor's degree,0
0,0,80,70,37,75,262,std-171,male,group C,bachelor's degree,2
1,0,74,70,36,41,221,std-172,male,group E,bachelor's degree,0
0,1,23,87,73,86,269,std-173,male,group D,bachelor's degree,4
1,0,53,51,73,87,264,std-174,male,group D,high school,4
1,0,39,41,48,62,190,std-175,male,group D,some college,4
0,0,30,69,93,91,283,std-176,male,group B,master's degree,0
1,1,68,91,65,98,322,std-177,male,group E,high school,0
1,1,71,80,58,58,267,std-178,male,group E,some high school,0
1,1,41,72,63,97,273,std-187,male,group C,associate's degree,2
1,1,49,58,66,34,207,std-188,male,group D,bachelor's degree,4
1,0,16,100,88,36,240,std-189,male,group B,some college,0
0,1,37,99,52,45,233,std-190,male,group C,associate's degree,2
1,1,87,57,65,60,269,std-191,male,group C,high school,2
1,1,45,100,46,73,264,std-192,male,group E,some college,0
0,0,32,47,61,61,201,std-193,male,group B,associate's degree,0
1,1,62,91,89,63,305,std-194,male,group D,some high school,4
1,1,58,88,64,62,272,std-195,male,group E,some high school,0
0,1,51,60,54,74,239,std-196,male,group E,bachelor's degree,0
1,1,45,51,56,74,226,std-197,male,group D,master's degree,4
1,0,33,63,53,85,234,std-198,male,group D,master's degree,4
1,1,50,91,78,35,254,std-199,male,group D,some college,4
0,0,57,71,42,80,250,std-200,male,group D,bachelor's degree,4
1,1,80,100,84,46,310,std-201,male,group C,high school,2
0,0,69,37,37,87,230,std-202,male,group A,some college,0
0,0,39,66,51,40,196,std-203,male,group D,high school,4
1,1,9,95,88,68,260,std-204,male,group C,some high school,2
0,1,8,69,61,33,171,std-205,male,group C,master's degree,2
0,0,17,76,34,72,199,std-206,male,group E,some high school,0
0,1,33,54,63,57,207,std-207,male,group D,bachelor's degree,4
0,1,16,50,81,100,247,std-208,male,group D,high school,4
0,0,65,92,49,30,236,std-209,male,group B,some high school,0
1,0,54,85,60,70,269,std-210,male,group A,high school,0
1,0,51,60,63,47,221,std-212,male,group E,high school,0
0,0,75,57,42,53,227,std-220,male,group B,associate's degree,0
0,1,40,83,99,100,322,std-221,male,group C,some college,2
1,0,79,100,62,63,304,std-222,male,group A,bachelor's degree,0
0,1,44,86,65,88,283,std-223,male,group B,bachelor's degree,0
1,1,16,70,56,77,219,std-225,male,group A,some high school,0
0,0,65,45,56,45,211,std-226,male,group C,high school,2
1,1,68,67,72,30,237,std-227,male,group E,high school,0
1,1,74,66,51,80,271,std-228,male,group D,some high school,4
1,0,16,83,66,49,214,std-229,male,group C,some college,2
1,1,65,43,84,13,205,std-230,male,group B,high school,0
1,1,71,88,72,46,277,std-231,male,group D,some college,4
1,1,11,57,91,93,252,std-232,male,group D,some college,4
0,0,44,38,82,67,231,std-233,male,group C,associate's degree,2
0,0,12,64,74,92,242,std-234,male,group C,some college,2
0,0,11,93,56,92,252,std-235,male,group E,associate's degree,0
0,0,54,75,79,58,266,std-236,male,group E,associate's degree,0
1,0,21,58,68,65,212,std-237,male,group D,associate's degree,4
1,0,48,74,58,52,232,std-238,male,group E,some college,0
0,0,40,51,51,74,216,std-239,male,group C,some college,2
0,0,79,74,62,62,277,std-240,male,group C,high school,2
1,1,77,72,94,63,306,std-241,male,group E,bachelor's degree,0
1,0,19,63,69,58,209,std-242,male,group C,some college,2
1,0,74,77,63,68,282,std-243,male,group E,some college,0
1,0,72,100,100,46,318,std-252,male,group B,high school,0
0,1,43,81,89,68,281,std-253,male,group A,high school,0
0,0,68,41,42,54,205,std-254,male,group E,high school,0
1,0,44,70,59,65,238,std-255,male,group C,high school,2
0,1,83,39,56,36,214,std-256,male,group C,some college,2
1,1,60,80,74,71,285,std-257,male,group E,high school,0
1,0,82,100,75,71,328,std-258,male,group A,some college,0
1,0,22,65,48,50,185,std-259,male,group E,bachelor's degree,0
1,1,83,52,92,77,304,std-260,male,group E,master's degree,0
0,0,99,78,81,97,355,std-261,male,group D,some high school,4
1,0,79,73,94,78,324,std-262,male,group B,bachelor's degree,0
1,0,55,52,87,54,248,std-263,male,group C,high school,2
0,0,39,89,55,77,260,std-264,male,group E,associate's degree,0
1,1,69,76,60,73,278,std-265,male,group D,some college,4
1,0,50,65,59,64,238,std-266,male,group E,high school,0
0,0,89,74,70,67,300,std-267,male,group D,associate's degree,4
1,1,60,93,63,47,263,std-268,male,group C,associate's degree,2
1,0,53,94,92,63,302,std-269,male,group D,associate's degree,4
1,0,72,98,73,77,320,std-270,male,group C,some high school,2
1,1,0,85,99,47,231,std-271,male,group A,high school,0
0,0,83,78,78,86,325,std-272,male,group E,some high school,0
1,0,72,60,75,54,261,std-273,male,group D,bachelor's degree,4
1,0,49,88,75,42,254,std-274,male,group A,master's degree,0
1,0,16,50,58,40,164,std-275,male,group B,high school,0
1,0,78,60,50,75,263,std-276,male,group B,master's degree,0
0,1,41,66,52,45,204,std-277,male,group D,bachelor's degree,4
1,0,33,65,61,59,218,std-278,male,group B,associate's degree,0
0,0,58,64,70,38,230,std-279,male,group D,some college,4
0,0,23,72,90,55,240,std-280,male,group C,bachelor's degree,2
1,0,46,92,52,32,222,std-281,male,group B,high school,0
1,1,20,74,34,29,157,std-282,male,group D,high school,4
1,0,25,71,59,69,224,std-284,male,group D,associate's degree,4
1,1,70,48,79,65,262,std-285,male,group C,bachelor's degree,2
0,0,46,69,70,44,229,std-286,male,group D,some college,4
1,1,41,61,69,44,215,std-287,male,group E,some college,0
1,0,69,36,65,94,264,std-288,male,group C,high school,2
1,0,61,40,72,44,217,std-289,male,group B,bachelor's degree,0
1,0,68,100,100,62,330,std-290,male,group B,high school,0
0,0,68,65,76,59,268,std-291,male,group B,master's degree,0
1,0,41,35,66,37,179,std-292,male,group D,associate's degree,4
0,0,48,94,100,49,291,std-294,male,group E,bachelor's degree,0
1,1,54,86,87,48,275,std-295,male,group D,master's degree,4
1,1,37,100,96,64,297,std-296,male,group C,associate's degree,2
1,0,40,59,75,39,213,std-297,male,group B,associate's degree,0
1,0,49,98,79,69,295,std-298,male,group C,bachelor's degree,2
0,0,73,79,56,66,274,std-299,male,group B,bachelor's degree,0
0,0,67,100,64,80,311,std-300,male,group C,high school,2
1,0,44,17,57,64,182,std-301,male,group D,master's degree,4
0,0,47,85,65,25,222,std-302,male,group C,some high school,2
1,0,75,96,100,100,371,std-303,male,group D,bachelor's degree,4
0,1,39,82,53,73,247,std-304,male,group A,associate's degree,0
1,0,37,100,70,87,294,std-306,male,group B,high school,0
1,1,58,69,86,50,263,std-307,male,group A,bachelor's degree,0
1,0,72,62,48,82,264,std-308,male,group E,bachelor's degree,0
0,0,26,76,85,59,246,std-309,male,group E,some college,0
0,0,25,44,56,39,164,std-310,male,group C,associate's degree,2
1,0,59,100,69,75,303,std-311,male,group C,some high school,2
1,0,98,100,95,67,360,std-312,male,group C,some high school,2
0,1,63,100,55,38,256,std-313,male,group B,bachelor's degree,0
1,0,64,99,77,89,329,std-314,male,group E,high school,0
0,0,25,51,95,48,219,std-315,male,group C,some college,2
1,1,75,67,80,49,271,std-316,male,group C,associate's degree,2
0,1,17,68,69,23,177,std-317,male,group B,some college,0
0,1,69,57,79,64,269,std-318,male,group D,bachelor's degree,4
0,1,29,93,69,60,251,std-319,male,group D,master's degree,4
1,0,37,44,62,69,212,std-320,male,group D,some college,4
0,1,98,60,70,69,297,std-322,male,group E,associate's degree,0
1,0,30,63,73,43,209,std-323,male,group D,master's degree,4
0,1,71,100,73,40,284,std-324,male,group E,master's degree,0
0,0,39,58,34,46,177,std-325,male,group C,high school,2
1,1,35,95,57,57,244,std-327,male,group B,master's degree,0
1,0,42,100,100,80,322,std-328,male,group C,some high school,2
1,1,86,71,59,47,263,std-329,male,group B,associate's degree,0
1,1,46,94,100,64,304,std-330,male,group B,bachelor's degree,0
0,1,77,75,63,32,247,std-331,male,group D,bachelor's degree,4
1,1,79,44,70,78,271,std-332,male,group E,some college,0
1,1,62,83,55,58,258,std-333,male,group B,some college,0
1,0,57,92,96,79,324,std-334,male,group C,bachelor's degree,2
0,1,30,59,48,42,179,std-335,male,group A,some high school,0
0,1,45,74,59,100,278,std-336,male,group C,some high school,2
1,0,77,96,58,90,321,std-337,male,group A,high school,0
1,1,43,35,80,82,240,std-338,male,group D,high school,4
0,0,31,78,34,47,190,std-339,male,group A,some high school,0
1,0,30,100,87,54,271,std-340,male,group C,high school,2
0,0,61,89,79,80,309,std-341,male,group C,high school,2
1,1,61,89,86,71,307,std-342,male,group D,high school,4
1,0,92,70,45,69,276,std-343,male,group E,some high school,0
1,0,50,78,54,69,251,std-344,male,group B,some college,0
0,1,75,86,63,56,280,std-345,male,group B,bachelor's degree,0
1,0,43,51,83,64,241,std-346,male,group D,associate's degree,4
1,0,64,71,69,64,268,std-347,male,group A,high school,0
1,0,19,17,83,63,182,std-348,male,group C,associate's degree,2
1,0,17,82,65,89,253,std-349,male,group C,associate's degree,2
0,1,68,100,77,89,334,std-350,male,group B,high school,0
0,0,54,79,36,94,263,std-351,male,group C,high school,2
0,0,79,91,83,66,319,std-352,male,group C,associate's degree,2
0,1,51,44,67,82,244,std-353,male,group D,high school,4
1,0,24,81,53,45,203,std-354,male,group D,high school,4
0,1,79,67,76,54,276,std-355,male,group B,associate's degree,0
1,0,19,78,56,75,228,std-356,male,group B,high school,0
1,0,52,76,68,59,255,std-357,male,group B,some college,0
0,0,28,75,30,32,165,std-358,male,group D,some college,4
0,0,86,66,43,12,207,std-359,male,group C,high school,2
1,0,50,100,76,62,288,std-360,male,group C,some high school,2
1,1,50,55,66,79,250,std-361,male,group C,associate's degree,2
1,0,20,47,54,61,182,std-362,male,group C,high school,2
1,1,17,81,52,90,240,std-363,male,group D,bachelor's degree,4
1,0,57,73,87,91,308,std-364,male,group B,bachelor's degree,0
1,1,47,60,100,76,283,std-365,male,group B,associate's degree,0
1,1,94,63,72,97,326,std-366,male,group C,some college,2
1,0,46,31,69,49,195,std-367,male,group D,associate's degree,4
1,1,70,84,96,81,331,std-368,male,group D,some high school,4
0,1,31,26,76,54,187,std-369,male,group C,some college,2
1,0,87,78,100,47,312,std-370,male,group B,bachelor's degree,0
0,0,24,54,55,83,216,std-371,male,group B,master's degree,0
0,1,71,97,86,83,337,std-372,male,group D,high school,4
1,0,59,34,93,46,232,std-373,male,group C,high school,2
0,1,59,65,51,58,233,std-375,male,group C,associate's degree,2
0,1,25,88,91,89,293,std-376,male,group D,associate's degree,4
1,1,6,60,79,38,183,std-377,male,group C,some high school,2
1,1,43,82,85,35,245,std-378,male,group E,some high school,0
1,0,60,63,95,53,271,std-379,male,group A,some college,0
0,1,70,100,78,89,337,std-380,male,group D,bachelor's degree,4
1,0,51,42,70,27,190,std-381,male,group C,high school,2
0,1,67,49,38,58,212,std-382,male,group D,high school,4
1,0,23,96,67,38,224,std-383,male,group B,some high school,0
1,0,72,88,72,43,275,std-384,male,group E,master's degree,0
1,1,89,75,52,86,302,std-386,male,group E,bachelor's degree,0
1,1,28,17,52,58,155,std-387,male,group D,some college,4
1,1,18,87,100,26,231,std-388,male,group E,some high school,0
1,1,45,76,75,51,247,std-389,male,group D,some college,4
0,0,38,100,72,44,254,std-390,male,group A,some high school,0
1,0,20,89,88,96,293,std-391,male,group C,bachelor's degree,2
0,1,48,48,87,71,254,std-392,male,group C,associate's degree,2
1,0,19,76,61,57,213,std-393,male,group C,some college,2
0,0,53,72,63,67,255,std-394,male,group D,associate's degree,4
0,1,89,99,60,62,310,std-396,male,group D,some high school,4
1,0,36,100,61,75,272,std-397,male,group D,master's degree,4
1,0,81,47,83,85,296,std-398,male,group D,bachelor's degree,4
1,1,99,100,44,17,260,std-399,male,group D,some high school,4
1,0,27,50,51,98,226,std-400,male,group D,bachelor's degree,4
0,0,60,100,100,56,316,std-401,male,group B,associate's degree,0
0,0,48,71,91,98,308,std-402,male,group D,bachelor's degree,4
0,1,64,74,49,86,273,std-403,male,group C,bachelor's degree,2
1,0,73,73,82,29,257,std-404,male,group E,bachelor's degree,0
0,1,25,40,69,52,186,std-405,male,group E,high school,0
1,0,72,61,37,47,217,std-414,male,group B,high school,0
0,1,54,44,80,50,228,std-416,male,group D,associate's degree,4
1,1,50,77,91,46,264,std-417,male,group B,associate's degree,0
0,0,55,62,81,45,243,std-418,male,group E,high school,0
1,1,37,95,72,57,261,std-419,male,group E,associate's degree,0
1,0,98,60,96,50,304,std-420,male,group C,some college,2
0,0,25,84,60,50,219,std-421,male,group B,associate's degree,0
0,1,53,59,30,48,190,std-422,male,group B,high school,0
0,1,77,39,67,57,240,std-423,male,group C,some high school,2
1,1,12,70,73,59,214,std-424,male,group C,master's degree,2
0,1,57,67,47,95,266,std-425,male,group D,associate's degree,4
1,0,46,61,76,86,269,std-426,male,group C,associate's degree,2
1,0,30,76,70,47,223,std-427,male,group E,some high school,0
1,0,45,65,55,81,246,std-428,male,group D,some high school,4
0,1,77,93,85,81,336,std-429,male,group C,high school,2
0,0,17,48,73,57,195,std-430,male,group B,some college,0
0,1,35,74,100,94,303,std-431,male,group A,master's degree,0
0,1,91,98,66,100,355,std-432,male,group A,some college,0
1,0,65,47,34,100,246,std-433,male,group C,high school,2
0,0,74,98,88,83,343,std-434,male,group B,some college,0
1,0,39,96,59,53,247,std-435,male,group A,high school,0
1,0,34,48,52,80,214,std-436,male,group A,master's degree,0
0,1,54,58,78,100,290,std-437,male,group C,some college,2
1,0,67,54,81,64,266,std-438,male,group D,master's degree,4
0,0,72,100,98,82,352,std-439,male,group B,high school,0
0,0,72,90,53,94,309,std-440,male,group D,associate's degree,4
1,1,54,86,28,88,256,std-441,male,group D,high school,4
1,0,34,53,54,57,198,std-442,male,group E,associate's degree,0
0,0,50,56,70,72,248,std-443,male,group E,some college,0
0,0,53,73,82,65,273,std-444,male,group C,high school,2
0,0,71,44,64,54,233,std-445,male,group B,associate's degree,0
1,0,48,92,73,54,267,std-446,male,group B,associate's degree,0
1,1,60,95,59,75,289,std-447,male,group C,master's degree,2
0,1,36,64,64,55,219,std-448,male,group C,some high school,2
0,0,97,64,58,34,253,std-449,male,group B,some college,0
1,1,49,98,84,92,323,std-450,male,group C,some college,2
1,1,78,81,51,40,250,std-451,male,group B,bachelor's degree,0
1,0,21,64,53,55,193,std-452,male,group D,associate's degree,4
1,0,96,84,82,100,362,std-453,male,group B,some college,0
1,1,77,60,29,54,220,std-454,male,group D,associate's degree,4
1,1,43,100,82,80,305,std-455,male,group C,high school,2
1,0,38,100,65,87,290,std-456,male,group C,some high school,2
1,0,53,76,72,42,243,std-457,male,group E,bachelor's degree,0
0,1,53,100,65,53,271,std-458,male,group C,some college,2
1,1,51,65,64,93,273,std-459,male,group D,associate's degree,4
1,1,70,52,45,69,236,std-460,male,group C,some high school,2
0,0,85,72,62,48,267,std-461,male,group C,high school,2
1,0,51,48,55,61,215,std-462,male,group D,some high school,4
1,1,56,93,69,77,295,std-463,male,group B,some college,0
1,1,75,100,83,38,296,std-464,male,group C,bachelor's degree,2
0,1,94,44,68,69,275,std-465,male,group B,some college,0
1,0,14,95,50,41,200,std-466,male,group D,associate's degree,4
0,0,80,67,91,70,308,std-467,male,group D,bachelor's degree,4
1,1,16,77,89,79,261,std-468,male,group D,associate's degree,4
0,0,32,82,53,74,241,std-469,male,group C,high school,2
0,0,84,55,69,80,288,std-470,male,group D,master's degree,4
1,1,89,62,61,26,238,std-471,male,group B,associate's degree,0
0,0,44,59,77,65,245,std-472,male,group B,associate's degree,0
0,0,57,96,52,61,266,std-473,male,group D,master's degree,4
0,0,86,77,33,33,229,std-474,male,group E,associate's degree,0
0,1,38,89,64,50,241,std-475,male,group C,associate's degree,2
0,1,89,46,50,89,274,std-476,male,group C,bachelor's degree,2
1,1,46,52,76,73,247,std-477,male,group D,associate's degree,4
0,0,30,89,52,18,189,std-478,male,group D,master's degree,4
0,0,30,75,78,59,242,std-479,male,group D,some college,4
0,0,32,43,38,57,170,std-480,male,group D,some high school,4
1,0,63,76,44,47,230,std-481,male,group B,some college,0
0,1,95,60,80,81,316,std-482,male,group B,high school,0
0,1,17,97,90,68,272,std-483,male,group D,some college,4
0,0,46,75,37,71,229,std-484,male,group C,bachelor's degree,2
1,0,33,55,30,76,194,std-485,male,group B,bachelor's degree,0
1,1,87,96,100,63,346,std-486,male,group B,some college,0
0,1,91,98,84,46,319,std-487,male,group D,some college,4
0,0,40,53,75,86,254,std-488,male,group D,some high school,4
1,0,49,59,79,34,221,std-489,male,group E,some college,0
1,0,23,51,69,59,202,std-490,male,group D,high school,4
1,0,41,76,95,97,309,std-491,male,group D,bachelor's degree,4
1,0,29,71,71,55,226,std-492,male,group D,high school,4
1,1,32,25,69,39,165,std-493,male,group B,associate's degree,0
0,1,100,57,54,94,305,std-494,male,group C,some high school,2
0,0,46,45,85,56,232,std-495,male,group C,some high school,2
0,0,18,70,44,83,215,std-496,male,group D,some college,4
1,1,58,66,56,90,270,std-497,male,group D,associate's degree,4
1,0,96,52,52,80,280,std-498,male,group C,high school,2
0,1,34,86,66,91,277,std-499,male,group A,some high school,0
0,0,77,95,61,55,288,std-500,male,group C,associate's degree,2
0,0,32,54,75,35,196,std-501,male,group C,some high school,2
1,0,61,72,100,83,316,std-502,male,group C,some high school,2
1,1,85,100,62,96,343,std-503,male,group C,some high school,2
0,1,15,53,57,63,188,std-504,male,group D,associate's degree,4
0,0,47,70,71,45,233,std-505,male,group A,some college,0
0,0,76,86,84,80,326,std-506,male,group C,bachelor's degree,2
0,0,37,82,65,96,280,std-507,male,group D,some high school,4
1,0,60,85,72,58,275,std-508,male,group B,high school,0
1,1,75,91,86,65,317,std-509,male,group C,high school,2
1,0,50,44,23,80,197,std-510,male,group C,some high school,2
0,0,73,46,54,54,227,std-511,male,group C,associate's degree,2
0,1,39,34,72,44,189,std-512,male,group B,high school,0
1,1,90,53,44,100,287,std-513,male,group C,some college,2
0,0,20,58,71,93,242,std-514,male,group C,associate's degree,2
1,0,22,86,87,68,263,std-515,male,group A,bachelor's degree,0
1,1,44,94,75,100,313,std-516,male,group C,associate's degree,2
0,0,61,63,98,53,275,std-517,male,group C,some college,2
0,0,79,46,42,48,215,std-518,male,group C,some college,2
1,1,48,95,79,84,306,std-519,male,group D,some college,4
0,1,23,68,58,48,197,std-520,male,group B,some high school,0
1,0,40,83,62,62,247,std-521,male,group D,some high school,4
0,0,63,69,54,80,266,std-522,male,group C,master's degree,2
1,0,39,83,77,75,274,std-523,male,group D,some college,4
1,1,72,80,82,81,315,std-524,male,group B,some college,0
1,0,83,53,87,60,283,std-525,male,group C,some college,2
1,0,38,47,67,51,203,std-526,male,group A,high school,0
1,0,82,89,100,56,327,std-527,male,group E,some high school,0
1,0,73,23,80,69,245,std-528,male,group B,bachelor's degree,0
1,0,25,45,83,55,208,std-537,male,group C,bachelor's degree,2
1,1,47,48,78,89,262,std-538,male,group C,some high school,2
1,0,96,91,66,86,339,std-539,male,group C,some high school,2
0,0,31,57,73,82,243,std-540,male,group C,bachelor's degree,2
0,0,50,34,39,80,203,std-541,male,group E,associate's degree,0
0,0,40,82,25,82,229,std-542,male,group D,high school,4
0,1,54,86,79,73,292,std-543,male,group C,master's degree,2
1,1,40,82,84,72,278,std-545,male,group E,some college,0
0,0,39,86,63,72,260,std-546,male,group B,bachelor's degree,0
1,1,49,60,79,83,271,std-547,male,group D,high school,4
1,1,89,51,84,45,269,std-548,male,group C,some college,2
1,0,27,69,80,27,203,std-549,male,group B,master's degree,0
0,1,27,73,69,64,233,std-550,male,group C,some high school,2
0,0,42,93,55,100,290,std-551,male,group D,associate's degree,4
0,0,36,73,72,100,281,std-552,male,group B,some college,0
1,0,53,53,23,51,180,std-553,male,group C,high school,2
0,1,100,45,66,82,293,std-554,male,group B,some high school,0
0,0,43,72,100,38,253,std-555,male,group C,some college,2
1,0,72,40,83,92,287,std-556,male,group A,high school,0
1,0,43,100,82,72,297,std-557,male,group E,bachelor's degree,0
0,0,68,83,92,66,309,std-558,male,group D,some high school,4
0,0,52,27,80,49,208,std-559,male,group E,master's degree,0
0,1,100,91,72,55,318,std-560,male,group D,bachelor's degree,4
1,0,62,53,68,55,238,std-561,male,group C,master's degree,2
1,0,34,51,47,42,174,std-562,male,group C,some college,2
1,0,62,83,56,31,232,std-563,male,group E,associate's degree,0
1,1,31,51,68,54,204,std-564,male,group D,some college,4
