TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster,Category
52.2,39,120,1,8974.93,Debit,Atlanta,Online,Engineer,0,Transaksi Normal
345.84,22,142,3,1402.5,Debit,Fort Worth,Online,Student,0,Transaksi Normal
145.54,21,96,1,1930.96,Debit,Raleigh,Online,Student,0,Transaksi Normal
7.49,65,276,1,3634.67,Credit,Houston,Online,Retired,1,Transaksi Abnormal
246.93,23,158,5,673.35,Debit,Miami,ATM,Student,0,Transaksi Normal
40.32,37,95,1,2686.52,Debit,Milwaukee,Branch,Engineer,0,Transaksi Normal
127.45,44,197,1,1772.06,Debit,Las Vegas,Online,Doctor,0,Transaksi Normal
56.17,27,283,1,1351.69,Debit,Detroit,Branch,Student,0,Transaksi Normal
28.31,59,20,1,8334.47,Credit,Miami,Online,Doctor,1,Transaksi Abnormal
59.12,29,257,1,9823.64,Debit,Baltimore,ATM,Doctor,0,Transaksi Normal
396.45,49,168,3,9690.15,Debit,New York,ATM,Engineer,0,Transaksi Normal
877.81,22,150,1,399.0,Debit,Los Angeles,Online,Student,0,Transaksi Normal
255.26,45,50,1,14815.87,Credit,San Francisco,Branch,Doctor,1,Transaksi Abnormal
124.76,49,45,1,5764.72,Debit,Seattle,Branch,Engineer,0,Transaksi Normal
78.13,26,145,1,900.61,Debit,Milwaukee,Branch,Student,0,Transaksi Normal
649.28,75,137,1,4875.86,Debit,San Jose,ATM,Retired,0,Transaksi Normal
795.31,66,90,2,7914.88,Debit,Mesa,ATM,Doctor,0,Transaksi Normal
335.63,55,216,1,1019.39,Debit,Oklahoma City,Online,Retired,0,Transaksi Normal
328.47,63,119,1,4323.66,Debit,San Antonio,ATM,Retired,0,Transaksi Normal
34.02,38,19,1,14214.48,Debit,Philadelphia,Online,Doctor,0,Transaksi Normal
241.42,57,116,1,13357.02,Credit,Charlotte,Online,Doctor,1,Transaksi Abnormal
55.32,19,117,1,241.79,Debit,Tucson,ATM,Student,0,Transaksi Normal
304.31,27,33,1,868.61,Debit,Louisville,Branch,Student,0,Transaksi Normal
435.27,74,90,1,4673.28,Debit,Chicago,Branch,Retired,0,Transaksi Normal
164.49,26,75,1,1509.27,Debit,Baltimore,Branch,Student,0,Transaksi Normal
510.24,19,105,1,781.7,Debit,Oklahoma City,Online,Student,0,Transaksi Normal
626.9,26,138,1,265.51,Debit,Denver,Online,Student,0,Transaksi Normal
22.01,41,175,1,1335.09,Credit,Sacramento,Online,Engineer,1,Transaksi Abnormal
425.34,69,121,1,3907.54,Credit,Kansas City,Online,Retired,1,Transaksi Abnormal
424.56,51,264,1,5183.85,Debit,Omaha,Online,Engineer,0,Transaksi Normal
85.43,67,145,1,14904.9,Debit,Virginia Beach,Branch,Doctor,0,Transaksi Normal
169.5,28,142,1,918.88,Debit,San Diego,Branch,Student,0,Transaksi Normal
104.63,62,90,1,4477.78,Debit,Omaha,ATM,Retired,0,Transaksi Normal
316.95,25,83,1,1324.03,Debit,Mesa,Branch,Student,0,Transaksi Normal
60.54,57,52,1,3534.93,Credit,Columbus,Branch,Retired,1,Transaksi Abnormal
292.56,68,61,1,4638.37,Credit,Dallas,Branch,Retired,1,Transaksi Abnormal
386.52,48,28,1,5630.61,Debit,Indianapolis,Branch,Engineer,0,Transaksi Normal
112.07,23,51,1,930.3,Debit,Kansas City,Branch,Student,0,Transaksi Normal
568.52,46,152,1,5499.91,Debit,Indianapolis,ATM,Engineer,0,Transaksi Normal
263.99,79,227,2,4175.02,Debit,Dallas,Branch,Retired,0,Transaksi Normal
349.64,48,226,1,6651.62,Debit,Las Vegas,Online,Engineer,0,Transaksi Normal
601.4,56,104,1,8458.29,Credit,Philadelphia,Branch,Engineer,1,Transaksi Abnormal
5.77,50,124,1,13988.12,Debit,Charlotte,Online,Doctor,0,Transaksi Normal
201.33,42,186,1,2585.07,Credit,Nashville,Branch,Engineer,1,Transaksi Abnormal
298.42,56,225,1,3014.75,Debit,Indianapolis,Branch,Retired,0,Transaksi Normal
521.06,25,128,1,1951.42,Debit,Albuquerque,Branch,Student,0,Transaksi Normal
117.28,60,16,1,3665.77,Credit,Austin,Online,Engineer,1,Transaksi Abnormal
189.12,32,103,1,977.01,Credit,Indianapolis,Branch,Engineer,1,Transaksi Abnormal
133.55,44,220,1,3846.28,Debit,Atlanta,ATM,Engineer,0,Transaksi Normal
143.21,35,135,1,6374.82,Debit,Dallas,Online,Engineer,0,Transaksi Normal
24.77,62,55,1,5866.01,Debit,Boston,ATM,Retired,0,Transaksi Normal
233.92,26,280,1,6537.62,Credit,Jacksonville,Online,Student,1,Transaksi Abnormal
1212.51,20,24,1,605.95,Debit,Indianapolis,Branch,Student,0,Transaksi Normal
232.12,37,51,1,6689.87,Debit,Omaha,ATM,Engineer,0,Transaksi Normal
162.63,22,113,1,634.17,Debit,Kansas City,Online,Student,0,Transaksi Normal
91.53,44,69,1,14676.05,Debit,Milwaukee,Branch,Doctor,0,Transaksi Normal
120.29,19,77,1,1362.39,Debit,Miami,Branch,Student,0,Transaksi Normal
174.25,50,67,1,10528.34,Debit,Seattle,Online,Doctor,0,Transaksi Normal
183.71,38,102,1,552.52,Debit,Denver,ATM,Engineer,0,Transaksi Normal
345.39,58,80,1,6451.96,Credit,Phoenix,Online,Engineer,1,Transaksi Abnormal
922.55,63,87,1,4715.84,Debit,Detroit,ATM,Retired,0,Transaksi Normal
259.91,49,170,1,7176.86,Debit,Denver,Online,Doctor,0,Transaksi Normal
154.71,34,157,1,1523.72,Debit,San Diego,Online,Doctor,0,Transaksi Normal
1340.19,54,30,1,8654.28,Credit,Austin,Online,Engineer,1,Transaksi Abnormal
24.56,64,69,1,9869.93,Debit,Mesa,Branch,Doctor,0,Transaksi Normal
568.07,48,115,1,10556.81,Debit,Washington,ATM,Doctor,0,Transaksi Normal
9.61,58,179,1,12883.91,Credit,San Diego,Online,Doctor,1,Transaksi Abnormal
392.96,24,100,1,791.65,Debit,Kansas City,Online,Student,0,Transaksi Normal
716.93,60,34,1,4064.02,Credit,Milwaukee,Online,Retired,1,Transaksi Abnormal
223.85,53,55,4,2929.91,Debit,Kansas City,ATM,Engineer,0,Transaksi Normal
230.66,21,135,1,618.05,Debit,Houston,Branch,Student,0,Transaksi Normal
442.12,19,260,1,1375.8,Debit,Los Angeles,Online,Student,0,Transaksi Normal
644.17,29,72,1,1143.52,Debit,San Antonio,ATM,Engineer,0,Transaksi Normal
508.68,51,127,1,7708.41,Credit,Mesa,Branch,Engineer,1,Transaksi Abnormal
858.63,27,185,1,1872.96,Credit,San Francisco,Branch,Student,1,Transaksi Abnormal
25.36,57,78,1,201.04,Debit,Louisville,ATM,Engineer,0,Transaksi Normal
147.62,71,133,1,2115.8,Debit,Charlotte,Branch,Retired,0,Transaksi Normal
115.02,37,175,1,7643.66,Debit,San Antonio,Branch,Doctor,0,Transaksi Normal
383.37,30,24,1,8901.93,Debit,Fort Worth,Branch,Engineer,0,Transaksi Normal
98.54,20,167,1,9383.43,Credit,El Paso,Online,Student,1,Transaksi Abnormal
83.24,55,164,1,1181.31,Credit,Fort Worth,Branch,Doctor,1,Transaksi Abnormal
196.16,27,146,1,9418.86,Debit,Virginia Beach,Branch,Engineer,0,Transaksi Normal
129.94,32,235,1,7954.92,Debit,Las Vegas,ATM,Engineer,0,Transaksi Normal
306.9,46,51,1,9418.08,Debit,Colorado Springs,Online,Engineer,0,Transaksi Normal
114.98,59,80,1,6144.68,Debit,Seattle,Online,Retired,0,Transaksi Normal
756.59,27,17,1,420.65,Debit,Sacramento,Branch,Student,0,Transaksi Normal
503.76,22,35,1,447.82,Debit,Los Angeles,Online,Student,0,Transaksi Normal
143.03,63,147,1,7981.45,Debit,San Antonio,ATM,Retired,0,Transaksi Normal
1045.22,53,73,1,1829.9,Debit,Columbus,ATM,Retired,0,Transaksi Normal
245.54,25,180,1,985.06,Debit,New York,ATM,Student,0,Transaksi Normal
254.37,51,174,1,8849.26,Credit,Dallas,Online,Engineer,1,Transaksi Abnormal
213.76,78,282,1,3528.72,Credit,Dallas,ATM,Retired,1,Transaksi Abnormal
327.86,40,104,1,480.16,Debit,Fresno,Online,Engineer,0,Transaksi Normal
2.5,47,107,1,12145.27,Debit,San Diego,Online,Doctor,0,Transaksi Normal
300.08,68,47,1,13546.75,Credit,Austin,Online,Doctor,1,Transaksi Abnormal
56.98,43,122,2,5688.37,Credit,Oklahoma City,ATM,Engineer,1,Transaksi Abnormal
407.65,26,62,1,8346.64,Debit,Boston,Online,Engineer,0,Transaksi Normal
115.83,39,167,1,6481.04,Debit,Fresno,Branch,Engineer,0,Transaksi Normal
53.57,69,121,1,1651.33,Debit,Houston,ATM,Retired,0,Transaksi Normal
63.34,46,165,1,11174.94,Credit,Detroit,Online,Doctor,1,Transaksi Abnormal
317.87,27,91,1,145.5,Debit,Detroit,Online,Student,0,Transaksi Normal
331.65,41,61,1,4172.57,Debit,Portland,Online,Engineer,0,Transaksi Normal
5.04,56,41,1,5558.36,Debit,Washington,ATM,Retired,0,Transaksi Normal
214.54,70,247,1,11151.53,Credit,Detroit,Online,Doctor,1,Transaksi Abnormal
598.81,57,158,1,1415.52,Debit,Philadelphia,Branch,Doctor,0,Transaksi Normal
841.28,26,80,1,1103.64,Debit,Tucson,Online,Student,0,Transaksi Normal
38.15,26,108,1,303.68,Debit,Mesa,Online,Student,0,Transaksi Normal
1036.66,58,144,1,5541.57,Debit,San Antonio,Branch,Doctor,0,Transaksi Normal
124.72,33,105,1,6309.8,Debit,Oklahoma City,Branch,Engineer,0,Transaksi Normal
302.45,78,40,1,5133.61,Credit,San Antonio,Branch,Retired,1,Transaksi Abnormal
208.04,47,273,1,9344.98,Debit,Louisville,Online,Engineer,0,Transaksi Normal
5.77,23,254,1,1117.97,Credit,Los Angeles,Branch,Student,1,Transaksi Abnormal
381.33,56,75,1,11835.35,Debit,Albuquerque,ATM,Doctor,0,Transaksi Normal
16.16,50,124,1,14401.17,Debit,Milwaukee,ATM,Doctor,0,Transaksi Normal
486.08,18,68,1,1748.69,Debit,Oklahoma City,Online,Student,0,Transaksi Normal
336.39,21,18,1,1000.46,Debit,San Antonio,Branch,Student,0,Transaksi Normal
997.43,69,118,1,6810.05,Debit,Seattle,Online,Doctor,0,Transaksi Normal
234.57,23,120,1,263.98,Debit,Chicago,Online,Student,0,Transaksi Normal
6.0,30,246,1,5442.76,Debit,Chicago,Online,Doctor,0,Transaksi Normal
1049.92,80,21,1,2037.85,Debit,Detroit,ATM,Retired,0,Transaksi Normal
227.14,18,294,1,341.94,Debit,Charlotte,ATM,Student,0,Transaksi Normal
233.74,66,17,1,1066.59,Credit,Oklahoma City,Online,Retired,1,Transaksi Abnormal
113.02,69,166,1,6077.96,Credit,Jacksonville,Branch,Retired,1,Transaksi Abnormal
45.85,20,92,1,1659.15,Debit,Los Angeles,ATM,Student,0,Transaksi Normal
973.39,77,296,1,2042.22,Debit,Sacramento,Branch,Retired,0,Transaksi Normal
514.95,41,142,5,421.93,Debit,New York,Online,Doctor,0,Transaksi Normal
415.5,66,141,1,10113.66,Debit,Memphis,ATM,Doctor,0,Transaksi Normal
265.76,54,92,1,4446.17,Debit,Philadelphia,Online,Retired,0,Transaksi Normal
69.4,80,113,1,6452.77,Debit,Virginia Beach,Online,Retired,0,Transaksi Normal
332.93,35,293,1,2788.2,Credit,Albuquerque,Branch,Engineer,1,Transaksi Abnormal
267.9,20,160,1,596.16,Debit,San Antonio,Online,Student,0,Transaksi Normal
496.03,61,265,1,12904.66,Debit,San Francisco,Branch,Doctor,0,Transaksi Normal
376.26,37,245,1,9062.4,Debit,Tucson,ATM,Engineer,0,Transaksi Normal
83.02,36,171,1,9009.56,Credit,Seattle,Online,Engineer,1,Transaksi Abnormal
93.26,20,72,1,1152.2,Credit,New York,Online,Student,1,Transaksi Abnormal
803.37,68,129,1,12168.37,Credit,Memphis,Branch,Doctor,1,Transaksi Abnormal
35.76,23,122,1,611.86,Debit,Charlotte,Branch,Student,0,Transaksi Normal
28.53,62,99,1,8670.53,Debit,Washington,Online,Doctor,0,Transaksi Normal
139.53,53,177,1,10098.86,Credit,Louisville,Online,Doctor,1,Transaksi Abnormal
307.57,33,285,1,5307.74,Debit,Detroit,Branch,Doctor,0,Transaksi Normal
60.65,56,53,1,1047.28,Credit,Tucson,Branch,Retired,1,Transaksi Abnormal
74.86,70,125,1,6921.48,Debit,Nashville,Branch,Doctor,0,Transaksi Normal
117.97,51,137,1,1475.46,Debit,Kansas City,Branch,Retired,0,Transaksi Normal
231.91,34,165,1,112.76,Debit,Memphis,ATM,Engineer,0,Transaksi Normal
126.21,75,268,1,5669.66,Debit,Baltimore,Branch,Retired,0,Transaksi Normal
506.28,53,162,2,1309.95,Credit,Chicago,Online,Retired,1,Transaksi Abnormal
304.35,31,36,1,4057.1,Debit,Houston,Branch,Engineer,0,Transaksi Normal
281.85,22,109,1,1585.98,Debit,Detroit,ATM,Student,0,Transaksi Normal
777.88,31,17,1,6825.55,Debit,Houston,Branch,Engineer,0,Transaksi Normal
119.18,56,96,1,5516.5,Debit,Los Angeles,Branch,Retired,0,Transaksi Normal
177.19,76,43,1,5343.3,Debit,Chicago,Online,Retired,0,Transaksi Normal
260.88,22,36,1,903.05,Debit,Denver,Branch,Student,0,Transaksi Normal
169.47,24,19,1,1806.16,Debit,Chicago,Online,Student,0,Transaksi Normal
73.23,26,14,1,787.74,Debit,Portland,Branch,Student,0,Transaksi Normal
1362.55,29,106,1,2429.68,Debit,El Paso,ATM,Engineer,0,Transaksi Normal
792.57,19,164,1,770.37,Debit,Baltimore,ATM,Student,0,Transaksi Normal
237.06,71,46,1,1182.77,Debit,Phoenix,Online,Retired,0,Transaksi Normal
34.17,54,54,1,726.55,Credit,Philadelphia,Online,Engineer,1,Transaksi Abnormal
740.25,41,123,1,14464.3,Debit,Philadelphia,Online,Doctor,0,Transaksi Normal
453.54,58,82,1,12046.3,Debit,Albuquerque,ATM,Doctor,0,Transaksi Normal
300.47,73,100,1,7885.64,Debit,Jacksonville,Branch,Retired,0,Transaksi Normal
110.93,19,201,1,1952.35,Credit,Virginia Beach,Branch,Student,1,Transaksi Abnormal
201.69,59,299,1,7328.52,Debit,Las Vegas,ATM,Doctor,0,Transaksi Normal
399.21,59,109,1,3210.39,Debit,Portland,ATM,Engineer,0,Transaksi Normal
1041.88,78,57,1,5726.2,Debit,Jacksonville,Online,Retired,0,Transaksi Normal
630.36,62,52,1,1363.65,Debit,Mesa,ATM,Retired,0,Transaksi Normal
10.94,60,245,1,1241.99,Credit,Philadelphia,ATM,Engineer,1,Transaksi Abnormal
215.9,38,235,1,7873.28,Debit,Los Angeles,ATM,Doctor,0,Transaksi Normal
1422.55,79,165,1,5674.32,Debit,Washington,Branch,Retired,0,Transaksi Normal
226.37,49,141,1,9840.04,Credit,Louisville,Branch,Doctor,1,Transaksi Abnormal
444.89,43,101,1,10328.23,Credit,Las Vegas,Branch,Doctor,1,Transaksi Abnormal
280.57,25,24,1,293.24,Credit,Virginia Beach,Online,Student,1,Transaksi Abnormal
488.54,52,132,1,7486.63,Debit,Jacksonville,Branch,Engineer,0,Transaksi Normal
3.3,50,131,1,11385.37,Credit,Los Angeles,Branch,Doctor,1,Transaksi Abnormal
199.39,69,165,1,7264.79,Debit,Colorado Springs,Branch,Retired,0,Transaksi Normal
20.36,62,75,1,2762.48,Debit,Tucson,Branch,Retired,0,Transaksi Normal
113.64,62,32,1,6675.03,Debit,Detroit,Online,Retired,0,Transaksi Normal
493.11,53,236,1,7432.99,Debit,Colorado Springs,Branch,Retired,0,Transaksi Normal
307.41,19,14,1,1057.0,Debit,Los Angeles,ATM,Student,0,Transaksi Normal
11.18,43,161,1,5956.89,Debit,Atlanta,Online,Doctor,0,Transaksi Normal
313.82,59,151,1,7261.59,Debit,Tucson,Branch,Engineer,0,Transaksi Normal
51.0,64,107,1,4943.16,Debit,Seattle,Branch,Retired,0,Transaksi Normal
140.98,60,100,1,8127.48,Debit,Memphis,Branch,Engineer,0,Transaksi Normal
288.04,68,63,1,1748.02,Debit,Denver,ATM,Retired,0,Transaksi Normal
800.55,31,108,1,9660.22,Debit,Oklahoma City,ATM,Engineer,0,Transaksi Normal
485.54,46,143,1,6371.51,Debit,Houston,ATM,Engineer,0,Transaksi Normal
521.15,54,214,1,9442.47,Debit,Kansas City,ATM,Doctor,0,Transaksi Normal
321.79,63,61,1,5959.2,Credit,Raleigh,ATM,Retired,1,Transaksi Abnormal
304.93,65,158,1,13531.22,Debit,Portland,ATM,Doctor,0,Transaksi Normal
432.08,40,145,1,11500.62,Debit,El Paso,ATM,Doctor,0,Transaksi Normal
694.2,61,72,1,1389.37,Debit,Milwaukee,ATM,Retired,0,Transaksi Normal
116.86,55,171,1,6706.56,Debit,Louisville,ATM,Engineer,0,Transaksi Normal
386.81,57,149,1,7175.29,Credit,Detroit,Online,Doctor,1,Transaksi Abnormal
74.88,25,202,1,420.67,Debit,Atlanta,ATM,Student,0,Transaksi Normal
195.76,75,99,1,7323.53,Debit,Philadelphia,Branch,Retired,0,Transaksi Normal
134.7,50,106,1,8395.85,Debit,Fort Worth,ATM,Doctor,0,Transaksi Normal
890.24,33,161,1,5140.93,Credit,Las Vegas,Online,Engineer,1,Transaksi Abnormal
361.27,63,180,1,7945.57,Debit,Omaha,ATM,Doctor,0,Transaksi Normal
131.56,44,42,1,5873.54,Debit,Charlotte,Branch,Doctor,0,Transaksi Normal
485.51,76,37,1,3074.45,Credit,Milwaukee,Online,Retired,1,Transaksi Abnormal
547.87,64,131,1,6155.76,Debit,Columbus,ATM,Retired,0,Transaksi Normal
457.3,28,15,1,8318.29,Debit,Virginia Beach,Online,Engineer,0,Transaksi Normal
506.24,58,64,1,230.09,Debit,Chicago,ATM,Engineer,0,Transaksi Normal
486.59,57,119,1,2513.56,Debit,Indianapolis,Branch,Retired,0,Transaksi Normal
163.68,41,292,1,10090.05,Debit,San Diego,Branch,Doctor,0,Transaksi Normal
581.65,22,176,1,480.19,Debit,Boston,ATM,Student,0,Transaksi Normal
52.01,48,85,1,1120.88,Debit,Mesa,ATM,Doctor,0,Transaksi Normal
630.24,21,62,1,370.81,Debit,Boston,ATM,Student,0,Transaksi Normal
523.74,43,159,1,13498.55,Debit,Oklahoma City,ATM,Doctor,0,Transaksi Normal
705.6,40,124,3,14804.7,Debit,Phoenix,Branch,Doctor,0,Transaksi Normal
217.5,46,35,1,3057.4,Credit,Denver,Branch,Engineer,1,Transaksi Abnormal
91.48,51,141,1,14942.78,Debit,Fort Worth,ATM,Doctor,0,Transaksi Normal
5.25,39,49,1,14143.32,Debit,San Jose,ATM,Doctor,0,Transaksi Normal
54.03,56,161,1,6736.3,Credit,Milwaukee,ATM,Retired,1,Transaksi Abnormal
736.73,48,10,1,3313.07,Debit,Memphis,Branch,Engineer,0,Transaksi Normal
368.91,54,14,1,829.71,Debit,Virginia Beach,Branch,Doctor,0,Transaksi Normal
33.06,53,170,1,1540.87,Credit,Fort Worth,Online,Retired,1,Transaksi Abnormal
66.5,32,144,1,6820.23,Credit,Louisville,Online,Engineer,1,Transaksi Abnormal
177.08,35,85,1,13475.14,Debit,Las Vegas,Online,Doctor,0,Transaksi Normal
588.54,32,130,1,714.45,Debit,Portland,Branch,Engineer,0,Transaksi Normal
173.5,21,282,1,1306.91,Debit,Nashville,ATM,Student,0,Transaksi Normal
78.33,56,189,1,7255.33,Credit,Memphis,Online,Engineer,1,Transaksi Abnormal
40.66,59,156,1,1153.84,Debit,Louisville,Branch,Retired,0,Transaksi Normal
97.22,77,55,1,6647.73,Credit,Atlanta,Branch,Retired,1,Transaksi Abnormal
34.07,22,81,1,8709.77,Debit,Philadelphia,Branch,Student,0,Transaksi Normal
492.06,23,74,1,857.9,Debit,Fresno,Online,Student,0,Transaksi Normal
842.01,53,185,1,509.45,Credit,Virginia Beach,Online,Doctor,1,Transaksi Abnormal
73.55,51,158,1,2812.06,Debit,Atlanta,ATM,Engineer,0,Transaksi Normal
760.53,57,118,1,6179.91,Debit,Phoenix,Online,Engineer,0,Transaksi Normal
273.08,26,134,1,6609.3,Credit,Houston,Branch,Engineer,1,Transaksi Abnormal
371.69,67,143,1,3484.32,Debit,San Francisco,Branch,Retired,0,Transaksi Normal
218.96,18,13,1,754.21,Debit,Seattle,ATM,Student,0,Transaksi Normal
227.39,18,65,1,751.09,Debit,Atlanta,Online,Student,0,Transaksi Normal
237.99,39,86,1,8510.09,Credit,Kansas City,Branch,Doctor,1,Transaksi Abnormal
186.6,58,13,1,1508.72,Debit,Washington,Online,Doctor,0,Transaksi Normal
341.15,18,148,1,511.37,Debit,San Jose,Online,Student,0,Transaksi Normal
434.58,59,215,1,12648.32,Debit,Memphis,ATM,Doctor,0,Transaksi Normal
312.88,54,44,1,233.21,Credit,Portland,Branch,Engineer,1,Transaksi Abnormal
75.15,23,154,1,1092.92,Debit,Boston,ATM,Student,0,Transaksi Normal
23.3,59,161,1,6711.15,Debit,Los Angeles,ATM,Engineer,0,Transaksi Normal
47.38,25,61,1,459.37,Credit,Seattle,Online,Student,1,Transaksi Abnormal
512.81,79,30,1,6994.34,Debit,Sacramento,Branch,Retired,0,Transaksi Normal
488.15,43,168,1,7071.09,Debit,Louisville,Branch,Engineer,0,Transaksi Normal
12.82,44,156,1,9045.19,Debit,Fort Worth,ATM,Engineer,0,Transaksi Normal
66.9,79,129,4,5238.71,Credit,Charlotte,Online,Retired,1,Transaksi Abnormal
535.91,43,22,1,9642.12,Debit,Las Vegas,Online,Engineer,0,Transaksi Normal
270.72,26,53,1,6263.96,Credit,Washington,Online,Engineer,1,Transaksi Abnormal
97.98,72,18,1,7460.33,Debit,Denver,Branch,Retired,0,Transaksi Normal
196.08,61,98,1,4233.82,Debit,San Francisco,Online,Retired,0,Transaksi Normal
251.18,42,246,1,8303.9,Debit,San Jose,ATM,Engineer,0,Transaksi Normal
44.52,28,205,1,314.28,Debit,El Paso,Online,Student,0,Transaksi Normal
178.87,35,180,1,5241.23,Debit,Baltimore,Online,Doctor,0,Transaksi Normal
1176.28,54,174,5,323.69,Credit,Kansas City,ATM,Engineer,1,Transaksi Abnormal
386.68,46,128,1,6863.06,Debit,New York,Branch,Doctor,0,Transaksi Normal
167.14,76,20,1,3877.73,Debit,Denver,Online,Retired,0,Transaksi Normal
345.22,69,253,1,4046.58,Debit,Fresno,Branch,Retired,0,Transaksi Normal
74.85,72,117,1,2409.73,Debit,Raleigh,ATM,Retired,0,Transaksi Normal
671.73,58,54,1,5211.88,Debit,Washington,Branch,Engineer,0,Transaksi Normal
255.04,45,152,1,6217.86,Debit,Seattle,ATM,Engineer,0,Transaksi Normal
45.77,25,109,1,5978.12,Debit,Philadelphia,Online,Student,0,Transaksi Normal
329.69,26,66,1,1671.66,Credit,San Antonio,Online,Student,1,Transaksi Abnormal
362.04,58,198,2,8421.88,Credit,Philadelphia,Branch,Doctor,1,Transaksi Abnormal
11.92,53,52,1,14611.9,Debit,San Diego,Branch,Doctor,0,Transaksi Normal
47.42,64,28,1,8253.52,Debit,San Diego,ATM,Doctor,0,Transaksi Normal
35.99,63,129,1,4489.79,Debit,Miami,Branch,Retired,0,Transaksi Normal
151.19,37,96,1,11903.82,Credit,New York,Branch,Doctor,1,Transaksi Abnormal
242.62,22,234,1,483.02,Credit,San Francisco,Online,Student,1,Transaksi Abnormal
48.72,21,17,1,816.08,Debit,Virginia Beach,Branch,Student,0,Transaksi Normal
43.46,25,80,1,578.06,Debit,Boston,ATM,Student,0,Transaksi Normal
1036.21,25,126,1,477.3,Debit,Omaha,Online,Student,0,Transaksi Normal
443.79,53,87,1,3133.85,Debit,Las Vegas,ATM,Retired,0,Transaksi Normal
365.14,68,57,1,5894.09,Debit,Dallas,Online,Retired,0,Transaksi Normal
757.41,22,37,1,9532.42,Debit,Los Angeles,ATM,Student,0,Transaksi Normal
20.54,51,72,1,5327.03,Debit,Fort Worth,Branch,Engineer,0,Transaksi Normal
475.36,34,105,1,2000.6,Debit,Phoenix,ATM,Engineer,0,Transaksi Normal
34.74,56,24,1,6827.57,Debit,San Francisco,ATM,Retired,0,Transaksi Normal
689.54,27,93,1,1633.76,Debit,Oklahoma City,Branch,Student,0,Transaksi Normal
211.18,73,90,1,4069.17,Debit,Washington,ATM,Retired,0,Transaksi Normal
211.36,51,286,1,7943.47,Credit,Fort Worth,Branch,Engineer,1,Transaksi Abnormal
744.41,39,107,1,8842.47,Credit,Houston,Online,Engineer,1,Transaksi Abnormal
61.43,24,170,1,1882.77,Debit,Phoenix,Online,Student,0,Transaksi Normal
167.44,37,82,1,12526.71,Debit,Mesa,Branch,Doctor,0,Transaksi Normal
361.46,21,83,1,4737.84,Debit,Nashville,Online,Student,0,Transaksi Normal
378.85,78,126,1,2300.53,Debit,Virginia Beach,Branch,Retired,0,Transaksi Normal
241.11,30,55,1,12385.05,Debit,Columbus,Branch,Doctor,0,Transaksi Normal
131.93,31,13,1,4547.06,Credit,Fort Worth,Branch,Engineer,1,Transaksi Abnormal
20.28,36,213,1,2047.83,Debit,Oklahoma City,Online,Engineer,0,Transaksi Normal
415.88,70,170,1,10008.33,Debit,San Diego,Branch,Doctor,0,Transaksi Normal
49.99,62,139,1,2299.64,Debit,Omaha,ATM,Retired,0,Transaksi Normal
1221.65,27,153,1,243.92,Debit,Denver,Online,Student,0,Transaksi Normal
100.66,50,144,1,14473.33,Debit,Dallas,Branch,Doctor,0,Transaksi Normal
485.54,19,148,1,1533.32,Debit,Louisville,Online,Student,0,Transaksi Normal
321.15,46,179,1,7005.05,Debit,Los Angeles,Branch,Doctor,0,Transaksi Normal
